item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales,new_item_type,outlet_years
FDA15,9.3,Low Fat,0.015919903,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.22554,Food,14
DRC01,5.92,Regular,0.019094745,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.094524,Drinks,4
FDN15,17.5,Low Fat,0.016621174,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.6483917,Food,14
FDX07,19.2,Regular,0.015158205,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,6.5962996,Food,15
NCD19,8.93,Low Fat,0.008049668,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,6.9024463,Non-Consumables,26
FDP36,10.395,Regular,0.0591442,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.3218627,Food,4
FDO10,13.65,Regular,0.012660604,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,5.8393407,Food,26
FDP10,19.0,Low Fat,0.11997606,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.299725,Food,28
FDH17,16.2,Regular,0.016549412,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,6.981562,Food,11
FDU28,19.2,Regular,0.09025158,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,8.457557,Food,6
FDY07,11.8,Low Fat,0.050915617,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.3238482,Food,14
FDA03,18.5,Regular,0.04446059,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,7.690356,Food,16
FDX32,15.1,Regular,0.09532245,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.3710265,Food,14
